route_id,service_id,trip_id,trip_headsign,direction_id,shape_id,wheelchair_accessible,bikes_allowed
32-10534,2020-COMBXMAS-Weekday-01,42650937-2020-COMBXMAS-Weekday-01,City,0,320048,1,1
31-10534,2020-COMBXMAS-Weekday-01,42650938-2020-COMBXMAS-Weekday-01,City,0,310249,1,1
32-10534,2020-COMBXMAS-Weekday-01,42650939-2020-COMBXMAS-Weekday-01,City,0,320048,1,1
30-10534,2020-COMBXMAS-Weekday-01,42650940-2020-COMBXMAS-Weekday-01,Dickson,0,300226,1,1
32-10534,2020-COMBXMAS-Weekday-01,42650941-2020-COMBXMAS-Weekday-01,City,0,320048,1,1
30-10534,2020-COMBXMAS-Weekday-01,42650942-2020-COMBXMAS-Weekday-01,Dickson,0,300226,1,1
31-10534,2020-COMBXMAS-Weekday-01,42650943-2020-COMBXMAS-Weekday-01,City,0,310249,1,1
4-10534,2020-COMBXMAS-Weekday-01,42650944-2020-COMBXMAS-Weekday-01,Tuggeranong,0,40404,1,1
8-10534,2020-COMBXMAS-Weekday-01,42650945-2020-COMBXMAS-Weekday-01,Gungahlin Place,1,80244,1,1
4-10534,2020-COMBXMAS-Weekday-01,42650946-2020-COMBXMAS-Weekday-01,Tuggeranong,0,40404,1,0
9-10534,2020-COMBXMAS-Weekday-01,42650947-2020-COMBXMAS-Weekday-01,Watson,0,90180,1,1
4-10534,2020-COMBXMAS-Weekday-01,42650948-2020-COMBXMAS-Weekday-01,Tuggeranong,0,40404,1,0
4-10534,2020-COMBXMAS-Weekday-01,42650949-2020-COMBXMAS-Weekday-01,Tuggeranong,0,40404,1,0
4-10534,2020-COMBXMAS-Weekday-01,42650950-2020-COMBXMAS-Weekday-01,Tuggeranong,0,40404,1,0
8-10534,2020-COMBXMAS-Weekday-01,42650951-2020-COMBXMAS-Weekday-01,Gungahlin Place,1,80244,1,1
4-10534,2020-COMBXMAS-Weekday-01,42650952-2020-COMBXMAS-Weekday-01,Tuggeranong,0,40404,1,1
4-10534,2020-COMBXMAS-Weekday-01,42650953-2020-COMBXMAS-Weekday-01,Tuggeranong,0,40404,1,1
9-10534,2020-COMBXMAS-Weekday-01,42650954-2020-COMBXMAS-Weekday-01,Watson,0,90180,1,1
4-10534,2020-COMBXMAS-Weekday-01,42650955-2020-COMBXMAS-Weekday-01,Tuggeranong,0,40404,1,1
4-10534,2020-COMBXMAS-Weekday-01,42650956-2020-COMBXMAS-Weekday-01,Tuggeranong,0,40404,1,0
4-10534,2020-COMBXMAS-Weekday-01,42650957-2020-COMBXMAS-Weekday-01,Tuggeranong,0,40404,1,1
8-10534,2020-COMBXMAS-Weekday-01,42650958-2020-COMBXMAS-Weekday-01,Gungahlin Place,1,80244,1,1
4-10534,2020-COMBXMAS-Weekday-01,42650959-2020-COMBXMAS-Weekday-01,Tuggeranong,0,40404,1,0
9-10534,2020-COMBXMAS-Weekday-01,42650960-2020-COMBXMAS-Weekday-01,Watson,0,90180,1,1
9-10534,2020-COMBXMAS-Weekday-01,42650961-2020-COMBXMAS-Weekday-01,Watson,0,90180,1,1
4-10534,2020-COMBXMAS-Weekday-01,42650962-2020-COMBXMAS-Weekday-01,Tuggeranong,0,40404,1,1
8-10534,2020-COMBXMAS-Weekday-01,42650963-2020-COMBXMAS-Weekday-01,Gungahlin Place,1,80244,1,1
4-10534,2020-COMBXMAS-Weekday-01,42650964-2020-COMBXMAS-Weekday-01,Tuggeranong,0,40404,1,0
4-10534,2020-COMBXMAS-Weekday-01,42650965-2020-COMBXMAS-Weekday-01,Tuggeranong,0,40404,1,1
4-10534,2020-COMBXMAS-Weekday-01,42650966-2020-COMBXMAS-Weekday-01,Tuggeranong,0,40404,1,1
9-10534,2020-COMBXMAS-Weekday-01,42650967-2020-COMBXMAS-Weekday-01,Watson,0,90180,1,1
4-10534,2020-COMBXMAS-Weekday-01,42650968-2020-COMBXMAS-Weekday-01,Tuggeranong,0,40404,1,0
8-10534,2020-COMBXMAS-Weekday-01,42650969-2020-COMBXMAS-Weekday-01,Gungahlin Place,1,80244,1,1
9-10534,2020-COMBXMAS-Weekday-01,42650970-2020-COMBXMAS-Weekday-01,Watson,0,90180,1,1
4-10534,2020-COMBXMAS-Weekday-01,42650971-2020-COMBXMAS-Weekday-01,Tuggeranong,0,40404,1,1
9-10534,2020-COMBXMAS-Weekday-01,42650972-2020-COMBXMAS-Weekday-01,Watson,0,90180,1,1
8-10534,2020-COMBXMAS-Weekday-01,42650973-2020-COMBXMAS-Weekday-01,Gungahlin Place,1,80244,1,1
4-10534,2020-COMBXMAS-Weekday-01,42650974-2020-COMBXMAS-Weekday-01,Tuggeranong,0,40404,1,1
9-10534,2020-COMBXMAS-Weekday-01,42650975-2020-COMBXMAS-Weekday-01,Watson,0,90180,1,1
4-10534,2020-COMBXMAS-Weekday-01,42650976-2020-COMBXMAS-Weekday-01,Tuggeranong,0,40404,1,0
4-10534,2020-COMBXMAS-Weekday-01,42650977-2020-COMBXMAS-Weekday-01,Tuggeranong,0,40404,1,0
4-10534,2020-COMBXMAS-Weekday-01,42650978-2020-COMBXMAS-Weekday-01,Tuggeranong,0,40404,1,1
9-10534,2020-COMBXMAS-Weekday-01,42650979-2020-COMBXMAS-Weekday-01,Watson,0,90180,1,1
4-10534,2020-COMBXMAS-Weekday-01,42650980-2020-COMBXMAS-Weekday-01,Tuggeranong,0,40404,1,1
9-10534,2020-COMBXMAS-Weekday-01,42650981-2020-COMBXMAS-Weekday-01,Watson,0,90180,1,1
4-10534,2020-COMBXMAS-Weekday-01,42650982-2020-COMBXMAS-Weekday-01,Tuggeranong,0,40404,1,1
4-10534,2020-COMBXMAS-Weekday-01,42650983-2020-COMBXMAS-Weekday-01,Tuggeranong,0,40404,1,1
